# time of execution: 2021-03-01 11:44:09
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.08
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:1.525e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000162724427	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000323732567	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.000000048304248	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.00000006406721	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000000796639141	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000000950961145	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000001103655465	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0000001254739272	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.000000140422954	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0000001552143079	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000001698496517	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000001843306308	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000001986588738	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000002128359922	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0000002268635793	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000002407432136	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000002544764532	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000002680648434	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000002815099118	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000002948131705	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.000000307976115	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000003210002244	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0000003338869656	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0000003466377845	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0000003592541158	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0000003717373775	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0000003840889748	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000003963102964	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000004084027136	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0000004203675883	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000004322062657	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000004439200765	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0000004555103366	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0000004669783495	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0000004783254064	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000004895527803	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0000005006617358	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000005116535204	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000005225293713	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0000005332905106	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000005439381479	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0000005544734814	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0000005648976953	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.000000575211961	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000005854174374	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0000005955152729	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.000000605506603	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0000006153925516	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0000006251742297	295.0	295.0	0.0	0.0	0.0	0.0
