# time of execution: 2021-05-27 13:49:21
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.048
# gep=4.05e+17[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=2330000.0[J/m^3/K]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692501007368646	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9692501946874484	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692502823089185	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9692503640276431	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692504402412672	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9692505113206489	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692505776116636	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.969250639436886	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692506970971598	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9692507508730636	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692508010262721	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692508478008335	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692508914243552	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9692509321091118	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692509700530776	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9692510054408894	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692510384447466	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692510692252481	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9692510979321727	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692511247052109	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9692511496746409	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692511729619662	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692511946805046	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9692512149359392	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.969251233826835	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692512514451149	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692512678765115	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692512832009812	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.969251297493093	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692513108223945	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.969251323253746	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692513348476393	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692513456604922	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692513557449196	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692513651499934	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9692513739214795	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9692513821020603	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692513897315437	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692513968470533	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692514034832159	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9692514096723233	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9692514154444907	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.969251420827807	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9692514258484676	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9692514305309023	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9692514348978974	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9692514389707033	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9692514427691385	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9692514463116847	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9692514496155826	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9692514526969075	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9692514555706546	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9692514582508069	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9692514607504077	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9692514630816177	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9692514652557821	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9692514672834799	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.969251469174579	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9692514709382812	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9692514725831685	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9692514741172453	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9692514755479755	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.969251476882323	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9692514781267806	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9692514792874024	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9692514803698385	295.0	295.0	0.0	0.0	0.0	0.0
