# time of execution: 2021-01-30 18:18:47
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.2
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:1.2e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.000000040359869	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000796639166	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000001179397626	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000001552143067	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000001915137424	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.000000226863579	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000002612886574	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.00000029481317	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000003274606752	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.000000359254116	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.000000390215834	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000004203675896	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000004497305686	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000004783254066	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.000000506172198	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000005332905115	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000005596994053	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000005854174383	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000006104626809	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000006348527357	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0000006586047425	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000006817353928	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0000007042609396	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.000000726197213	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.000000747559628	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0000007683631984	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0000007886225435	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000008083519003	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000008275651324	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0000008462757422	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000008644968794	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000008822413484	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.000000899521618	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0000009163498318	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0000009327378157	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000009486970869	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0000009642388592	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000009793740556	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000009941133114	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.000001008466986	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000010224451648	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0000010360576719	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0000010493140712	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0000010622236826	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000010747955745	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0000010870385831	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.000001098961312	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.000001110572139	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0000011218792237	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0000011328905132	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0000011436137453	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.000001154056455	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0000011642259807	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.000001174129468	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0000011837738787	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.00000119316599	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0000012023124003	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0000012112195398	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.0000012198936659	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.0000012283408743	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0000012365671025	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0000012445781306	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.0000012523795887	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.0000012599769592	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.0000012673755807	295.0	295.0	0.0	0.0	0.0	0.0
0.66	1.0000012745806515	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	1.000001281597236	295.0	295.0	0.0	0.0	0.0	0.0
0.68	1.0000012884302651	295.0	295.0	0.0	0.0	0.0	0.0
0.69	1.0000012950845407	295.0	295.0	0.0	0.0	0.0	0.0
0.7	1.0000013015647393	295.0	295.0	0.0	0.0	0.0	0.0
0.71	1.0000013078754142	295.0	295.0	0.0	0.0	0.0	0.0
