# time of execution: 2020-10-28 01:14:28
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 0.97127]
### sample paramters ###
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:1
# asf=0.033
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:6.5e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999638504703732	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9999283312222496	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.999893431215481	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9998591396050572	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9998254457375952	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9997923391478971	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.999759809555568	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9997278468616986	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9996964411456092	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9996655826616543	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9996352618360836	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9996054692639619	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.999576195706152	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9995474320863399	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.999519169488131	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9994913991521852	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9994641124734147	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9994373009982268	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9994109564218204	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9993850705855326	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9993596354742325	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9993346432137616	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9993100860684213	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9992859564385124	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.999262246857908	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9992389499916808	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9992160586337685	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9991935657046825	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9991714642492583	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.999149747434451	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9991284085471595	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9991074409921046	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9990868382897351	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9990665940741761	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9990467020912143	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9990271561963169	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9990079503526907	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9989890786293748	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9989705351993621	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9989523143377661	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9989344104200075	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9989168179200477	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9988995314086417	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.998882545551626	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9988658551082413	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9988494549294835	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9988333399564787	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9988175052189011	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9988019458334018	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9987866570020756	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.998771634010957	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9987568722285388	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9987423671043193	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9987281141673715	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9987141090249461	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.99870034736109	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9986868249352956	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9986735375811745	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9986604812051497	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9986476517851757	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9986350453694816	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9986226580753329	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9986104860878191	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9985985256586588	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9985867731050316	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9985752248084292	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9985638772135199	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9985527268270429	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9985417702167181	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9985310040101741	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9985204248938966	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9985100296121984	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9984998149661996	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9984897778128352	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9984799150638743	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9984702236849584	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.998460700694659	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9984513431635453	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.998442148213278	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9984331130157096	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9984242347920056	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9984155108117846	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9984069383922644	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9983985148974315	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.9983902377372208	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9983821043667138	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9983741122853433	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9983662590361215	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9983585422048739	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.9983509594194948	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9983435083492086	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9983361867038446	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.9983289922331309	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9983219227259946	295.0	295.0	0.0	0.0	0.0	0.0
0.95	0.9983149760098758	295.0	295.0	0.0	0.0	0.0	0.0
0.96	0.9983081499500562	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.9983014424489968	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9982948514456865	295.0	295.0	0.0	0.0	0.0	0.0
0.99	0.9982883749150069	295.0	295.0	0.0	0.0	0.0	0.0
1.0	0.9982820108671018	295.0	295.0	0.0	0.0	0.0	0.0
1.01	0.9982757573467624	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9982696124328241	295.0	295.0	0.0	0.0	0.0	0.0
1.03	0.9982635742375687	295.0	295.0	0.0	0.0	0.0	0.0
1.04	0.9982576409061418	295.0	295.0	0.0	0.0	0.0	0.0
1.05	0.9982518106159768	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	0.9982460815762341	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	0.998240452027246	295.0	295.0	0.0	0.0	0.0	0.0
1.08	0.9982349202399728	295.0	295.0	0.0	0.0	0.0	0.0
1.09	0.9982294845154663	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	0.9982241431843472	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	0.998218894606286	295.0	295.0	0.0	0.0	0.0	0.0
1.12	0.9982137371695008	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	0.9982086692902533	295.0	295.0	0.0	0.0	0.0	0.0
1.14	0.9982036894123629	295.0	295.0	0.0	0.0	0.0	0.0
1.15	0.998198796006727	295.0	295.0	0.0	0.0	0.0	0.0
1.16	0.9981939875708448	295.0	295.0	0.0	0.0	0.0	0.0
1.1700000000000002	0.9981892626283568	295.0	295.0	0.0	0.0	0.0	0.0
1.18	0.9981846197285884	295.0	295.0	0.0	0.0	0.0	0.0
1.19	0.9981800574460978	295.0	295.0	0.0	0.0	0.0	0.0
1.2	0.9981755743802433	295.0	295.0	0.0	0.0	0.0	0.0
1.21	0.9981711691547434	295.0	295.0	0.0	0.0	0.0	0.0
1.22	0.998166840417258	295.0	295.0	0.0	0.0	0.0	0.0
1.23	0.9981625868389684	295.0	295.0	0.0	0.0	0.0	0.0
1.24	0.9981584071141663	295.0	295.0	0.0	0.0	0.0	0.0
1.25	0.9981542999598519	295.0	295.0	0.0	0.0	0.0	0.0
1.2599999999999998	0.9981502641153396	295.0	295.0	0.0	0.0	0.0	0.0
1.27	0.9981462983418663	295.0	295.0	0.0	0.0	0.0	0.0
1.28	0.9981424014222112	295.0	295.0	0.0	0.0	0.0	0.0
1.29	0.9981385721603204	295.0	295.0	0.0	0.0	0.0	0.0
1.2999999999999998	0.9981348093809379	295.0	295.0	0.0	0.0	0.0	0.0
1.31	0.9981311119292412	295.0	295.0	0.0	0.0	0.0	0.0
1.32	0.9981274786704895	295.0	295.0	0.0	0.0	0.0	0.0
1.33	0.9981239084896695	295.0	295.0	0.0	0.0	0.0	0.0
1.3399999999999999	0.9981204002911543	295.0	295.0	0.0	0.0	0.0	0.0
1.3499999999999999	0.9981169529983669	295.0	295.0	0.0	0.0	0.0	0.0
1.36	0.9981135655534437	295.0	295.0	0.0	0.0	0.0	0.0
1.37	0.9981102369169135	295.0	295.0	0.0	0.0	0.0	0.0
1.38	0.9981069660673743	295.0	295.0	0.0	0.0	0.0	0.0
