# time of execution: 2021-05-27 18:12:11
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.045
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:3.55e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500138710544	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9692500276134404	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692500412283508	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9692500547169691	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692500680804657	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.969250081320002	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692500944367262	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9692501074317788	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692501203062874	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9692501330613718	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692501456981385	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692501582176868	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692501706211024	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.969250182909463	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692501950838353	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.969250207145278	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692502190948374	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.969250230933552	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9692502426624486	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692502542825479	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9692502657948576	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692502772003782	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692502885001004	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9692502996950056	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9692503107860659	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692503217742442	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692503326604957	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692503434457657	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.969250354130989	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692503647170969	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692503752050079	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692503855956306	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692503958898693	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692504060886176	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692504161927621	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9692504262031797	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9692504361207399	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692504459463032	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692504556807237	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692504653248476	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9692504748795115	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9692504843455458	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9692504937237723	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9692505030150047	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9692505122200511	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9692505213397106	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9692505303747759	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9692505393260318	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9692505481942537	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9692505569802141	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9692505656846743	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9692505743083912	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.969250582852115	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.969250591316585	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9692505997025388	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9692506080107053	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9692506162418022	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.969250624396547	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9692506324756481	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9692506404798068	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9692506484097171	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9692506562660681	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9692506640495439	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9692506717608198	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9692506794005664	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9692506869694443	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9692506944681127	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9692507018972234	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9692507092574226	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.969250716549346	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9692507237736285	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9692507309308973	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9692507380217755	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9692507450468776	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9692507520068149	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9692507589021898	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9692507657336037	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9692507725016485	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9692507792069123	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9692507858499768	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9692507924314196	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9692507989518128	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9692508054117229	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9692508118117095	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.96925081815233	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9692508244341337	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9692508306576667	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9692508368234695	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9692508429320775	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.9692508489840216	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9692508549798274	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.969250860920015	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.9692508668051016	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9692508726355981	295.0	295.0	0.0	0.0	0.0	0.0
