# time of execution: 2020-10-20 17:02:53
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# asf=0.09
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:3e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	0.9999755328911217	295.0	295.0
0.02	0.9999513551823347	295.0	295.0
0.03	0.9999274634365386	295.0	295.0
0.04	0.999903854257788	295.0	295.0
0.05	0.9998805242907831	295.0	295.0
0.06	0.9998574702203822	295.0	295.0
0.07	0.9998346887711114	295.0	295.0
0.08	0.9998121767066843	295.0	295.0
0.09	0.9997899308295237	295.0	295.0
0.1	0.9997679479802908	295.0	295.0
0.11	0.9997462250374264	295.0	295.0
0.12	0.9997247589166895	295.0	295.0
0.13	0.9997035465707038	295.0	295.0
0.14	0.9996825849885115	295.0	295.0
0.15	0.9996618711951328	295.0	295.0
0.16	0.9996414022511302	295.0	295.0
0.17	0.999621175252176	295.0	295.0
0.18	0.9996011873286309	295.0	295.0
0.19	0.9995814356451203	295.0	295.0
0.2	0.9995619174001211	295.0	295.0
0.21	0.999542629825556	295.0	295.0
0.22	0.9995235701863808	295.0	295.0
0.22999999999999998	0.9995047357801927	295.0	295.0
0.24	0.9994861239368352	295.0	295.0
0.25	0.9994677320180033	295.0	295.0
0.26	0.9994495574168619	295.0	295.0
0.27	0.9994315975576676	295.0	295.0
0.28	0.9994138498953933	295.0	295.0
0.29	0.9993963119153532	295.0	295.0
0.3	0.9993789811328415	295.0	295.0
0.31	0.9993618550927683	295.0	295.0
0.32	0.999344931369303	295.0	295.0
0.33	0.9993282075655233	295.0	295.0
0.34	0.9993116813130644	295.0	295.0
0.35	0.9992953502717753	295.0	295.0
0.36	0.9992792121293814	295.0	295.0
0.37	0.9992632646011463	295.0	295.0
0.38	0.9992475054295413	295.0	295.0
0.39	0.9992319323839184	295.0	295.0
0.4	0.9992165432601848	295.0	295.0
0.41	0.9992013358804864	295.0	295.0
0.42	0.9991863080928902	295.0	295.0
0.43	0.9991714577710739	295.0	295.0
0.44	0.9991567828140162	295.0	295.0
0.45	0.9991422811456954	295.0	295.0
0.45999999999999996	0.9991279507147868	295.0	295.0
0.47000000000000003	0.9991137894943666	295.0	295.0
0.48	0.9990997954816209	295.0	295.0
0.49000000000000005	0.9990859666975529	295.0	295.0
0.5	0.9990723011866991	295.0	295.0
0.5099999999999999	0.9990587970168452	295.0	295.0
0.52	0.9990454522787511	295.0	295.0
0.5299999999999999	0.9990322650858694	295.0	295.0
0.54	0.999019233574078	295.0	295.0
0.5499999999999999	0.999006355901411	295.0	295.0
0.56	0.9989936302477873	295.0	295.0
0.57	0.9989810548147569	295.0	295.0
0.58	0.9989686278252353	295.0	295.0
0.59	0.9989563475232507	295.0	295.0
0.6	0.9989442121736886	295.0	295.0
0.61	0.9989322200620442	295.0	295.0
0.62	0.9989203694941771	295.0	295.0
0.6299999999999999	0.9989086587960609	295.0	295.0
0.64	0.9988970863135499	295.0	295.0
0.6499999999999999	0.9988856504121378	295.0	295.0
0.66	0.9988743494767209	295.0	295.0
0.6699999999999999	0.9988631819113706	295.0	295.0
0.68	0.9988521461391002	295.0	295.0
0.69	0.9988412406016401	295.0	295.0
0.7	0.9988304637592144	295.0	295.0
0.71	0.9988198140903175	295.0	295.0
0.72	0.9988092900914975	295.0	295.0
0.73	0.9987988902771416	295.0	295.0
0.74	0.9987886131792603	295.0	295.0
0.7499999999999999	0.9987784573472775	295.0	295.0
0.76	0.998768421347827	295.0	295.0
0.7699999999999999	0.9987585037645376	295.0	295.0
0.78	0.9987487031978399	295.0	295.0
0.7899999999999999	0.9987390182647584	295.0	295.0
0.8	0.9987294475987191	295.0	295.0
0.8099999999999999	0.9987199898493495	295.0	295.0
0.82	0.9987106436822887	295.0	295.0
0.83	0.9987014077789921	295.0	295.0
0.84	0.9986922808365477	295.0	295.0
0.85	0.9986832615674863	295.0	295.0
0.86	0.9986743486995963	295.0	295.0
0.87	0.9986655409757459	295.0	295.0
0.88	0.998656837153701	295.0	295.0
0.8899999999999999	0.9986482360059471	295.0	295.0
0.9	0.9986397363195139	295.0	295.0
0.9099999999999999	0.9986313368958031	295.0	295.0
0.9199999999999999	0.9986230365504158	295.0	295.0
0.93	0.9986148341129856	295.0	295.0
0.9400000000000001	0.9986067284270085	295.0	295.0
0.95	0.9985987183496793	295.0	295.0
0.96	0.9985908027517293	295.0	295.0
0.9699999999999999	0.9985829805172625	295.0	295.0
0.9800000000000001	0.9985752505435991	295.0	295.0
0.99	0.9985676117411162	295.0	295.0
1.0	0.998560063033096	295.0	295.0
1.01	0.9985526033555655	295.0	295.0
1.0199999999999998	0.9985452316571515	295.0	295.0
1.03	0.9985379468989269	295.0	295.0
1.04	0.9985307480542643	295.0	295.0
1.05	0.9985236341086872	295.0	295.0
1.0599999999999998	0.9985166040597292	295.0	295.0
1.0699999999999998	0.9985096569167895	295.0	295.0
1.08	0.9985027917009892	295.0	295.0
1.09	0.9984960074450366	295.0	295.0
1.0999999999999999	0.9984893031930866	295.0	295.0
1.1099999999999999	0.9984826780006043	295.0	295.0
1.12	0.9984761309342306	295.0	295.0
1.1300000000000001	0.9984696610716532	295.0	295.0
1.14	0.9984632675014697	295.0	295.0
1.15	0.9984569493230616	295.0	295.0
1.16	0.998450705646464	295.0	295.0
1.1700000000000002	0.9984445355922406	295.0	295.0
1.18	0.9984384382913591	295.0	295.0
1.19	0.9984324128850645	295.0	295.0
1.2	0.9984264585247609	295.0	295.0
