# time of execution: 2020-10-20 17:21:33
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# asf=0.11
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:3.3e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	0.999970135178759	295.0	295.0
0.02	0.9999407015274513	295.0	295.0
0.03	0.999911692795749	295.0	295.0
0.04	0.9998831028246583	295.0	295.0
0.05	0.9998549255451596	295.0	295.0
0.06	0.9998271549768759	295.0	295.0
0.07	0.9997997852267558	295.0	295.0
0.08	0.9997728104877833	295.0	295.0
0.09	0.9997462250377008	295.0	295.0
0.1	0.9997200232377519	295.0	295.0
0.11	0.9996941995314508	295.0	295.0
0.12	0.9996687484433592	295.0	295.0
0.13	0.9996436645778936	295.0	295.0
0.14	0.9996189426181399	295.0	295.0
0.15	0.9995945773246934	295.0	295.0
0.16	0.9995705635345142	295.0	295.0
0.17	0.999546896159797	295.0	295.0
0.18	0.9995235701868622	295.0	295.0
0.19	0.9995005806750641	295.0	295.0
0.2	0.9994779227557102	295.0	295.0
0.21	0.9994555916310015	295.0	295.0
0.22	0.9994335825729889	295.0	295.0
0.22999999999999998	0.9994118909225409	295.0	295.0
0.24	0.9993905120883354	295.0	295.0
0.25	0.9993694415458549	295.0	295.0
0.26	0.9993486748364082	295.0	295.0
0.27	0.999328207566158	295.0	295.0
0.28	0.9993080354051701	295.0	295.0
0.29	0.9992881540864718	295.0	295.0
0.3	0.9992685594051269	295.0	295.0
0.31	0.9992492472173239	295.0	295.0
0.32	0.9992302134394785	295.0	295.0
0.33	0.9992114540473491	295.0	295.0
0.34	0.9991929650751639	295.0	295.0
0.35	0.9991747426147646	295.0	295.0
0.36	0.9991567828147608	295.0	295.0
0.37	0.9991390818796969	295.0	295.0
0.38	0.99912163606923	295.0	295.0
0.39	0.9991044416973258	295.0	295.0
0.4	0.9990874951314594	295.0	295.0
0.41	0.9990707927918313	295.0	295.0
0.42	0.9990543311505987	295.0	295.0
0.43	0.9990381067311084	295.0	295.0
0.44	0.9990221161071526	295.0	295.0
0.45	0.9990063559022291	295.0	295.0
0.45999999999999996	0.998990822788812	295.0	295.0
0.47000000000000003	0.9989755134876367	295.0	295.0
0.48	0.9989604247669965	295.0	295.0
0.49000000000000005	0.9989455534420422	295.0	295.0
0.5	0.9989308963741016	295.0	295.0
0.5099999999999999	0.9989164504699987	295.0	295.0
0.52	0.9989022126813937	295.0	295.0
0.5299999999999999	0.9988881800041296	295.0	295.0
0.54	0.9988743494775825	295.0	295.0
0.5499999999999999	0.9988607181840274	295.0	295.0
0.56	0.9988472832480121	295.0	295.0
0.57	0.9988340418357403	295.0	295.0
0.58	0.9988209911544622	295.0	295.0
0.59	0.9988081284518788	295.0	295.0
0.6	0.9987954510155508	295.0	295.0
0.61	0.9987829561723134	295.0	295.0
0.62	0.9987706412877089	295.0	295.0
0.6299999999999999	0.9987585037654186	295.0	295.0
0.64	0.9987465410467106	295.0	295.0
0.6499999999999999	0.9987347506098889	295.0	295.0
0.66	0.9987231299697549	295.0	295.0
0.6699999999999999	0.9987116766770748	295.0	295.0
0.68	0.9987003883180589	295.0	295.0
0.69	0.9986892625138406	295.0	295.0
0.7	0.9986782969199735	295.0	295.0
0.71	0.9986674892259256	295.0	295.0
0.72	0.9986568371545858	295.0	295.0
0.73	0.9986463384617849	295.0	295.0
0.74	0.9986359909358059	295.0	295.0
0.7499999999999999	0.9986257923969203	295.0	295.0
0.76	0.9986157406969175	295.0	295.0
0.7699999999999999	0.9986058337186489	295.0	295.0
0.78	0.9985960693755742	295.0	295.0
0.7899999999999999	0.9985864456113217	295.0	295.0
0.8	0.9985769603992433	295.0	295.0
0.8099999999999999	0.9985676117419855	295.0	295.0
0.82	0.9985583976710657	295.0	295.0
0.83	0.9985493162464476	295.0	295.0
0.84	0.9985403655561342	295.0	295.0
0.85	0.9985315437157565	295.0	295.0
0.86	0.9985228488681711	295.0	295.0
0.87	0.9985142791830709	295.0	295.0
0.88	0.9985058328565887	295.0	295.0
0.8899999999999999	0.9984975081109188	295.0	295.0
0.9	0.9984893031939328	295.0	295.0
0.9099999999999999	0.9984812163788147	295.0	295.0
0.9199999999999999	0.9984732459636869	295.0	295.0
0.93	0.9984653902712518	295.0	295.0
0.9400000000000001	0.998457647648434	295.0	295.0
0.95	0.9984500164660282	295.0	295.0
0.96	0.9984424951183574	295.0	295.0
0.9699999999999999	0.9984350820229253	295.0	295.0
0.9800000000000001	0.9984277756200862	295.0	295.0
0.99	0.9984205743727096	295.0	295.0
1.0	0.9984134767658546	295.0	295.0
1.01	0.9984064813064494	295.0	295.0
1.0199999999999998	0.9983995865229749	295.0	295.0
1.03	0.9983927909651501	295.0	295.0
1.04	0.9983860932036261	295.0	295.0
1.05	0.9983794918296823	295.0	295.0
1.0599999999999998	0.9983729854549281	295.0	295.0
1.0699999999999998	0.9983665727110081	295.0	295.0
1.08	0.9983602522493104	295.0	295.0
1.09	0.9983540227406856	295.0	295.0
1.0999999999999999	0.9983478828751587	295.0	295.0
1.1099999999999999	0.9983418313616543	295.0	295.0
1.12	0.9983358669277251	295.0	295.0
1.1300000000000001	0.9983299883192784	295.0	295.0
1.14	0.9983241943003138	295.0	295.0
1.15	0.9983184836526573	295.0	295.0
1.16	0.9983128551757087	295.0	295.0
1.1700000000000002	0.9983073076861834	295.0	295.0
1.18	0.9983018400178628	295.0	295.0
1.19	0.9982964510213477	295.0	295.0
1.2	0.9982911395638153	295.0	295.0
1.21	0.9982859045287782	295.0	295.0
1.22	0.9982807448158495	295.0	295.0
1.23	0.9982756593405087	295.0	295.0
1.24	0.998270647033873	295.0	295.0
1.25	0.9982657068424727	295.0	295.0
1.2599999999999998	0.9982608377280255	295.0	295.0
1.27	0.9982560386672187	295.0	295.0
1.28	0.998251308651492	295.0	295.0
1.29	0.9982466466868238	295.0	295.0
1.2999999999999998	0.9982420517935233	295.0	295.0
1.31	0.9982375230060205	295.0	295.0
1.32	0.9982330593726647	295.0	295.0
1.33	0.9982286599555221	295.0	295.0
1.3399999999999999	0.9982243238301755	295.0	295.0
1.3499999999999999	0.9982200500855357	295.0	295.0
1.36	0.9982158378236403	295.0	295.0
1.37	0.9982116861594698	295.0	295.0
1.38	0.9982075942207604	295.0	295.0
1.39	0.9982035611478135	295.0	295.0
1.4	0.9981995860933252	295.0	295.0
1.4100000000000001	0.9981956682221972	295.0	295.0
1.42	0.998191806711367	295.0	295.0
1.43	0.9981880007496297	295.0	295.0
1.44	0.9981842495374698	295.0	295.0
1.45	0.9981805522868905	295.0	295.0
1.46	0.998176908221249	295.0	295.0
1.47	0.9981733165750913	295.0	295.0
1.48	0.9981697765939908	295.0	295.0
1.49	0.9981662875343905	295.0	295.0
1.4999999999999998	0.9981628486634438	295.0	295.0
1.51	0.9981594592588626	295.0	295.0
1.52	0.9981561186087617	295.0	295.0
