# time of execution: 2022-01-17 09:41:41
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=3.54e-10	dy=3.54e-10	dz=3.54e-10	[m]
# atoms per unit cell:4
# asf=0.045
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=342.5[K]
### pulse paramters ###
# peak power:6.5e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999661192648993	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9999327945864741	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.999900016777015	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9998677768023547	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.999836065779253	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9998048749728256	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9997741957940183	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9997440197971285	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9997143386773665	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9996851442684609	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9996564285403075	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9996281835966568	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9996004016728427	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9995730751335541	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9995461964706402	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9995197583009574	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9994937533642534	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9994681745210872	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9994430147507861	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9994182671494387	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9993939249279196	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9993699814099549	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9993464300302131	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9993232643324347	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9993004779675934	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9992780646920878	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.999256018365964	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9992343329511729	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9992130025098507	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9991920212026348	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9991713832870076	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9991510831156653	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9991311151349221	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.999111473883132	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9990921539891473	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9990731501707969	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9990544572333945	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.99903607006827	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9990179836513274	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9990001930416283	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9989826933799955	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9989654798876467	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.998948547864847	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9989318926895847	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9989155098162733	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9988993947744713	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9988835431676251	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9988679506718361	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9988526130346446	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9988375260738364	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9988226856762721	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9988080877967315	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9987937284567809	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9987796037436593	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9987657098091818	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9987520428686641	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9987385991998643	295.0	295.0	0.0	0.0	0.0	0.0
0.58	0.9987253751419402	295.0	295.0	0.0	0.0	0.0	0.0
0.59	0.9987123670944283	295.0	295.0	0.0	0.0	0.0	0.0
0.6	0.9986995715162387	295.0	295.0	0.0	0.0	0.0	0.0
0.61	0.9986869849246652	295.0	295.0	0.0	0.0	0.0	0.0
0.62	0.9986746038944132	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9986624250566456	295.0	295.0	0.0	0.0	0.0	0.0
0.64	0.9986504450980426	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9986386607598806	295.0	295.0	0.0	0.0	0.0	0.0
0.66	0.9986270688371197	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9986156661775157	295.0	295.0	0.0	0.0	0.0	0.0
0.68	0.9986044496807414	295.0	295.0	0.0	0.0	0.0	0.0
0.69	0.9985934162975234	295.0	295.0	0.0	0.0	0.0	0.0
0.7	0.9985825630287948	295.0	295.0	0.0	0.0	0.0	0.0
0.71	0.9985718869248602	295.0	295.0	0.0	0.0	0.0	0.0
0.72	0.9985613850845783	295.0	295.0	0.0	0.0	0.0	0.0
0.73	0.9985510546545537	295.0	295.0	0.0	0.0	0.0	0.0
0.74	0.9985408928283467	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9985308968456913	295.0	295.0	0.0	0.0	0.0	0.0
0.76	0.9985210639917336	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9985113915962747	295.0	295.0	0.0	0.0	0.0	0.0
0.78	0.9985018770330317	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9984925177189108	295.0	295.0	0.0	0.0	0.0	0.0
0.8	0.9984833111132909	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9984742547173199	295.0	295.0	0.0	0.0	0.0	0.0
0.82	0.9984653460732223	295.0	295.0	0.0	0.0	0.0	0.0
0.83	0.9984565827636205	295.0	295.0	0.0	0.0	0.0	0.0
0.84	0.9984479624108635	295.0	295.0	0.0	0.0	0.0	0.0
0.85	0.9984394826763721	295.0	295.0	0.0	0.0	0.0	0.0
0.86	0.9984311412599886	295.0	295.0	0.0	0.0	0.0	0.0
0.87	0.9984229358993449	295.0	295.0	0.0	0.0	0.0	0.0
0.88	0.9984148643692364	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9984069244810053	295.0	295.0	0.0	0.0	0.0	0.0
0.9	0.9983991140819363	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9983914310546654	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9983838733165924	295.0	295.0	0.0	0.0	0.0	0.0
0.93	0.9983764388193079	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9983691255480276	295.0	295.0	0.0	0.0	0.0	0.0
0.95	0.9983619315210366	295.0	295.0	0.0	0.0	0.0	0.0
0.96	0.9983548547891451	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.9983478934351484	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9983410455732992	295.0	295.0	0.0	0.0	0.0	0.0
0.99	0.9983343093487907	295.0	295.0	0.0	0.0	0.0	0.0
1.0	0.9983276829372423	295.0	295.0	0.0	0.0	0.0	0.0
1.01	0.9983211645442014	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9983147524046457	295.0	295.0	0.0	0.0	0.0	0.0
1.03	0.9983084447825005	295.0	295.0	0.0	0.0	0.0	0.0
1.04	0.9983022399701585	295.0	295.0	0.0	0.0	0.0	0.0
1.05	0.9982961362880137	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	0.9982901320839964	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	0.9982842257331218	295.0	295.0	0.0	0.0	0.0	0.0
1.08	0.9982784156370387	295.0	295.0	0.0	0.0	0.0	0.0
1.09	0.9982727002235982	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	0.9982670779464156	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	0.9982615472844478	295.0	295.0	0.0	0.0	0.0	0.0
1.12	0.9982561067415768	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	0.9982507548461973	295.0	295.0	0.0	0.0	0.0	0.0
1.14	0.998245490150813	295.0	295.0	0.0	0.0	0.0	0.0
1.15	0.9982403112316421	295.0	295.0	0.0	0.0	0.0	0.0
1.16	0.9982352166882241	295.0	295.0	0.0	0.0	0.0	0.0
