# time of execution: 2022-05-11 14:18:23
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.063
# gep=4.05e+18[W/m^3/K]
# factor cv_el=2000[J/m^3/K^2]
# cv_ph=2330000.0[J/m^3/K]
# R = 17200000000000.0[1/s]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.2e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000001039327981	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.000000200864017	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000002912653274	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000003755766242	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000004542081684	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000005275425834	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000005959367178	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0000006597233801	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0000007192129583	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0000007746949329	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000008264392801	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000008746977906	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.000000919705293	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000009616807963	295.0	295.0	0.0	0.0	0.0	0.0
