# time of execution: 2022-05-11 15:40:06
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:300.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.07
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:3.9e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	300.0	300.0	0	0	0	0
0.01	0.9999621662347707	300.0	300.0	0.0	0.0	0.0	0.0
0.02	0.9999248857259493	300.0	300.0	0.0	0.0	0.0	0.0
0.03	0.9998881503357057	300.0	300.0	0.0	0.0	0.0	0.0
0.04	0.999851952047277	300.0	300.0	0.0	0.0	0.0	0.0
0.05	0.9998162829631313	300.0	300.0	0.0	0.0	0.0	0.0
0.06	0.9997811353031553	300.0	300.0	0.0	0.0	0.0	0.0
0.07	0.9997465014028689	300.0	300.0	0.0	0.0	0.0	0.0
0.08	0.9997123737116702	300.0	300.0	0.0	0.0	0.0	0.0
0.09	0.9996787447911132	300.0	300.0	0.0	0.0	0.0	0.0
0.1	0.9996456073132035	300.0	300.0	0.0	0.0	0.0	0.0
0.11	0.9996129540587233	300.0	300.0	0.0	0.0	0.0	0.0
0.12	0.9995807779155877	300.0	300.0	0.0	0.0	0.0	0.0
0.13	0.999549071877224	300.0	300.0	0.0	0.0	0.0	0.0
0.14	0.9995178290409749	300.0	300.0	0.0	0.0	0.0	0.0
0.15	0.999487042606526	300.0	300.0	0.0	0.0	0.0	0.0
0.16	0.9994567058743623	300.0	300.0	0.0	0.0	0.0	0.0
0.17	0.999426812244246	300.0	300.0	0.0	0.0	0.0	0.0
0.18	0.9993973552137171	300.0	300.0	0.0	0.0	0.0	0.0
0.19	0.9993683283766205	300.0	300.0	0.0	0.0	0.0	0.0
0.2	0.9993397254216505	300.0	300.0	0.0	0.0	0.0	0.0
0.21	0.9993115401309264	300.0	300.0	0.0	0.0	0.0	0.0
0.22	0.9992837663785827	300.0	300.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9992563981293848	300.0	300.0	0.0	0.0	0.0	0.0
0.24	0.9992294294373671	300.0	300.0	0.0	0.0	0.0	0.0
0.25	0.9992028544444864	300.0	300.0	0.0	0.0	0.0	0.0
0.26	0.9991766673793059	300.0	300.0	0.0	0.0	0.0	0.0
0.27	0.9991508625556885	300.0	300.0	0.0	0.0	0.0	0.0
0.28	0.9991254343715215	300.0	300.0	0.0	0.0	0.0	0.0
0.29	0.9991003773074519	300.0	300.0	0.0	0.0	0.0	0.0
0.3	0.9990756859256438	300.0	300.0	0.0	0.0	0.0	0.0
0.31	0.9990513548685599	300.0	300.0	0.0	0.0	0.0	0.0
0.32	0.999027378857757	300.0	300.0	0.0	0.0	0.0	0.0
0.33	0.9990037526926975	300.0	300.0	0.0	0.0	0.0	0.0
0.34	0.9989804712495861	300.0	300.0	0.0	0.0	0.0	0.0
0.35	0.9989575294802214	300.0	300.0	0.0	0.0	0.0	0.0
0.36	0.9989349224108611	300.0	300.0	0.0	0.0	0.0	0.0
0.37	0.9989126451411118	300.0	300.0	0.0	0.0	0.0	0.0
0.38	0.9988906928428299	300.0	300.0	0.0	0.0	0.0	0.0
0.39	0.9988690607590445	300.0	300.0	0.0	0.0	0.0	0.0
0.4	0.9988477442028922	300.0	300.0	0.0	0.0	0.0	0.0
0.41	0.9988267385565704	300.0	300.0	0.0	0.0	0.0	0.0
0.42	0.9988060392703051	300.0	300.0	0.0	0.0	0.0	0.0
0.43	0.9987856418613407	300.0	300.0	0.0	0.0	0.0	0.0
0.44	0.9987655419129339	300.0	300.0	0.0	0.0	0.0	0.0
0.45	0.9987457350733733	300.0	300.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9987262170550094	300.0	300.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9987069836332986	300.0	300.0	0.0	0.0	0.0	0.0
0.48	0.9986880306458658	300.0	300.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9986693539915753	300.0	300.0	0.0	0.0	0.0	0.0
0.5	0.9986509496296233	300.0	300.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9986328135786369	300.0	300.0	0.0	0.0	0.0	0.0
0.52	0.9986149419157911	300.0	300.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9985973307759388	300.0	300.0	0.0	0.0	0.0	0.0
0.54	0.9985799763507524	300.0	300.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9985628748878809	300.0	300.0	0.0	0.0	0.0	0.0
0.56	0.9985460226901162	300.0	300.0	0.0	0.0	0.0	0.0
0.57	0.9985294161145767	300.0	300.0	0.0	0.0	0.0	0.0
0.58	0.9985130515718977	300.0	300.0	0.0	0.0	0.0	0.0
0.59	0.9984969255254407	300.0	300.0	0.0	0.0	0.0	0.0
0.6	0.998481034490507	300.0	300.0	0.0	0.0	0.0	0.0
0.61	0.9984653750335706	300.0	300.0	0.0	0.0	0.0	0.0
0.62	0.9984499437715191	300.0	300.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9984347373709032	300.0	300.0	0.0	0.0	0.0	0.0
0.64	0.9984197525472025	300.0	300.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9984049860641042	300.0	300.0	0.0	0.0	0.0	0.0
0.66	0.9983904347327829	300.0	300.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.9983760954112003	300.0	300.0	0.0	0.0	0.0	0.0
0.68	0.9983619650034139	300.0	300.0	0.0	0.0	0.0	0.0
0.69	0.9983480404588916	300.0	300.0	0.0	0.0	0.0	0.0
0.7	0.9983343187718421	300.0	300.0	0.0	0.0	0.0	0.0
0.71	0.9983207969805518	300.0	300.0	0.0	0.0	0.0	0.0
0.72	0.9983074721667349	300.0	300.0	0.0	0.0	0.0	0.0
0.73	0.9982943414548876	300.0	300.0	0.0	0.0	0.0	0.0
0.74	0.9982814020116597	300.0	300.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9982686510452295	300.0	300.0	0.0	0.0	0.0	0.0
0.76	0.998256085804689	300.0	300.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9982437035794433	300.0	300.0	0.0	0.0	0.0	0.0
0.78	0.9982315016986117	300.0	300.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9982194775304424	300.0	300.0	0.0	0.0	0.0	0.0
0.8	0.9982076284817366	300.0	300.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9981959519972765	300.0	300.0	0.0	0.0	0.0	0.0
0.82	0.9981844455592671	300.0	300.0	0.0	0.0	0.0	0.0
0.83	0.9981731066867826	300.0	300.0	0.0	0.0	0.0	0.0
0.84	0.9981619329352257	300.0	300.0	0.0	0.0	0.0	0.0
0.85	0.9981509218957874	300.0	300.0	0.0	0.0	0.0	0.0
0.86	0.998140071194923	300.0	300.0	0.0	0.0	0.0	0.0
0.87	0.9981293784938309	300.0	300.0	0.0	0.0	0.0	0.0
0.88	0.9981188414879398	300.0	300.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.998108457906405	300.0	300.0	0.0	0.0	0.0	0.0
0.9	0.9980982255116121	300.0	300.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9980881420986885	300.0	300.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9980782054950194	300.0	300.0	0.0	0.0	0.0	0.0
0.93	0.998068413559773	300.0	300.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.998058764183434	300.0	300.0	0.0	0.0	0.0	0.0
0.95	0.9980492552873405	300.0	300.0	0.0	0.0	0.0	0.0
0.96	0.9980398848232328	300.0	300.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.9980306507728038	300.0	300.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9980215511472584	300.0	300.0	0.0	0.0	0.0	0.0
0.99	0.9980125839868845	300.0	300.0	0.0	0.0	0.0	0.0
1.0	0.9980037473606149	300.0	300.0	0.0	0.0	0.0	0.0
