# time of execution: 2022-01-17 11:18:25
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.04
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:3.1e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9999181281661161	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.99983668875951	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9997556793700163	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9996750976020704	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9995949410746031	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.999515207420947	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9994358942887368	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9993569993398123	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.999278520250121	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.9992004547096246	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9991228004222025	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9990455551055597	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9989687164911315	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.9988922823239926	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9988162503627634	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9987406183795207	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9986653841597061	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9985905455020375	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9985161002184179	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9984420461338485	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.998368381086341	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9982951029268313	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9982222095190909	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9981496987396434	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9980775684776778	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9980058166349665	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9979344411257786	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9978634398767988	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9977928108270446	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9977225519277841	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9976526611424562	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9975831364465858	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9975139758277092	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9974451772852924	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9973767388306511	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9973086584868751	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9972409342887482	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.997173564282672	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9971065465265909	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9970398790899149	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9969735600534443	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9969075875092956	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.996841959560826	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9967766743225626	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.996711729920126	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9966471244901597	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9965828561802594	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.996518923148898	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9964553235653577	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9963920556096585	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9963291174724874	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.996266507355133	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9962042234694117	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9961422640376019	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9960806272923753	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9960193114767325	295.0	295.0	0.0	0.0	0.0	0.0
0.57	0.9959583148439316	295.0	295.0	0.0	0.0	0.0	0.0
