# time of execution: 2021-01-21 11:39:21
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.048
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:1.2e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0020742937881415	295.0	295.0	0	0	0	0
0.01	1.0020510807540874	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0020281282111467	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0020054332161985	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.00198299285976	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0019608042655936	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0019388645903202	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0019171710230352	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0018957207849295	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0018745111289205	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0018535393392807	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.001832802731268	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0018122986507736	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0017920244739604	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0017719776069134	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0017521554852937	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.001732555573992	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0017131753667916	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.001694012386032	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0016750641822791	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0016563283339968	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0016378024472241	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0016194841552561	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.00160137111833	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0015834610233083	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.001565751583375	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0015482405377316	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0015309256512919	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.00151380471439	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0014968755424818	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.001480135975859	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0014635838793577	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0014472171420807	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0014310336771126	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.001415031421246	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0013992083347054	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0013835624008798	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0013680916260543	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0013527940391465	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0013376676914452	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.001322710656353	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0013079210291336	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0012932969266573	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0012788364871537	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0012645378699658	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0012503992553086	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0012364188440264	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.001222594857359	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0012089255367027	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0011954091433843	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0011820439584282	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0011688282823317	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0011557604348416	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.001142838754733	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0011300615995924	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0011174273455985	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.001104934387313	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.001092581137466	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0010803660267518	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.0010682875036212	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.0010563440340756	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0010445341014709	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0010328562063158	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.001021308866075	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.0010098906149782	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.0009986000038245	295.0	295.0	0.0	0.0	0.0	0.0
0.66	1.0009874355997939	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	1.0009763959862636	295.0	295.0	0.0	0.0	0.0	0.0
0.68	1.0009654797626184	295.0	295.0	0.0	0.0	0.0	0.0
0.69	1.00095468554407	295.0	295.0	0.0	0.0	0.0	0.0
0.7	1.0009440119614745	295.0	295.0	0.0	0.0	0.0	0.0
0.71	1.0009334576611535	295.0	295.0	0.0	0.0	0.0	0.0
0.72	1.0009230213047202	295.0	295.0	0.0	0.0	0.0	0.0
0.73	1.0009127015689054	295.0	295.0	0.0	0.0	0.0	0.0
0.74	1.0009024971453777	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	1.0008924067405807	295.0	295.0	0.0	0.0	0.0	0.0
0.76	1.0008824290755618	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	1.0008725628858044	295.0	295.0	0.0	0.0	0.0	0.0
0.78	1.0008628069210643	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	1.000853159945208	295.0	295.0	0.0	0.0	0.0	0.0
0.8	1.0008436207360483	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	1.0008341880851905	295.0	295.0	0.0	0.0	0.0	0.0
0.82	1.0008248607978694	295.0	295.0	0.0	0.0	0.0	0.0
0.83	1.0008156376927986	295.0	295.0	0.0	0.0	0.0	0.0
0.84	1.0008065176020144	295.0	295.0	0.0	0.0	0.0	0.0
0.85	1.0007974993707258	295.0	295.0	0.0	0.0	0.0	0.0
0.86	1.0007885818571625	295.0	295.0	0.0	0.0	0.0	0.0
0.87	1.0007797639324276	295.0	295.0	0.0	0.0	0.0	0.0
0.88	1.000771044480352	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	1.0007624223973473	295.0	295.0	0.0	0.0	0.0	0.0
0.9	1.0007538965922655	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	1.0007454659862538	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	1.0007371295126182	295.0	295.0	0.0	0.0	0.0	0.0
0.93	1.000728886116684	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	1.0007207347556584	295.0	295.0	0.0	0.0	0.0	0.0
0.95	1.0007126743984944	295.0	295.0	0.0	0.0	0.0	0.0
0.96	1.0007047040257628	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	1.0006968226295117	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	1.0006890292131418	295.0	295.0	0.0	0.0	0.0	0.0
0.99	1.000681322791279	295.0	295.0	0.0	0.0	0.0	0.0
1.0	1.000673702389641	295.0	295.0	0.0	0.0	0.0	0.0
1.01	1.0006661670449142	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	1.0006587158046294	295.0	295.0	0.0	0.0	0.0	0.0
1.03	1.00065134772704	295.0	295.0	0.0	0.0	0.0	0.0
1.04	1.0006440618809977	295.0	295.0	0.0	0.0	0.0	0.0
1.05	1.0006368573458333	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	1.0006297332112386	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	1.0006226885771468	295.0	295.0	0.0	0.0	0.0	0.0
1.08	1.0006157225536172	295.0	295.0	0.0	0.0	0.0	0.0
1.09	1.000608834260724	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	1.0006020228284338	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	1.0005952873965045	295.0	295.0	0.0	0.0	0.0	0.0
1.12	1.0005886271143656	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	1.0005820411410107	295.0	295.0	0.0	0.0	0.0	0.0
1.14	1.0005755286448936	295.0	295.0	0.0	0.0	0.0	0.0
1.15	1.0005690888038163	295.0	295.0	0.0	0.0	0.0	0.0
1.16	1.000562720804823	295.0	295.0	0.0	0.0	0.0	0.0
1.1700000000000002	1.0005564238440987	295.0	295.0	0.0	0.0	0.0	0.0
1.18	1.0005501971268622	295.0	295.0	0.0	0.0	0.0	0.0
1.19	1.0005440398672663	295.0	295.0	0.0	0.0	0.0	0.0
1.2	1.0005379512882955	295.0	295.0	0.0	0.0	0.0	0.0
1.21	1.0005319306216662	295.0	295.0	0.0	0.0	0.0	0.0
1.22	1.000525977107727	295.0	295.0	0.0	0.0	0.0	0.0
1.23	1.000520089995363	295.0	295.0	0.0	0.0	0.0	0.0
1.24	1.000514268541897	295.0	295.0	0.0	0.0	0.0	0.0
1.25	1.0005085120129966	295.0	295.0	0.0	0.0	0.0	0.0
1.2599999999999998	1.0005028196825765	295.0	295.0	0.0	0.0	0.0	0.0
1.27	1.0004971908327067	295.0	295.0	0.0	0.0	0.0	0.0
1.28	1.0004916247535223	295.0	295.0	0.0	0.0	0.0	0.0
1.29	1.000486120743129	295.0	295.0	0.0	0.0	0.0	0.0
1.2999999999999998	1.0004806781075155	295.0	295.0	0.0	0.0	0.0	0.0
1.31	1.0004752961604622	295.0	295.0	0.0	0.0	0.0	0.0
1.32	1.000469974223454	295.0	295.0	0.0	0.0	0.0	0.0
1.33	1.0004647116255938	295.0	295.0	0.0	0.0	0.0	0.0
1.3399999999999999	1.000459507703517	295.0	295.0	0.0	0.0	0.0	0.0
