# time of execution: 2021-01-21 11:28:57
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.055
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:1.2e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0020742937881415	295.0	295.0	0	0	0	0
0.01	1.002047717354481	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0020214823633415	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0019955843981796	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0019700191002372	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0019447821677723	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0019198693552984	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0018952764728344	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.001870999385164	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.001847034011106	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0018233763227975	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0018000223449803	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0017769681543052	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0017542098786376	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.001731743696383	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0017095658358084	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.001687672574383	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0016660602381293	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0016447252009701	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.001623663884101	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0016028727553605	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0015823483286126	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0015620871631343	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0015420858630175	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0015223410765746	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0015028494957552	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0014836078555631	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0014646129334943	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0014458615489696	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.001427350562785	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0014090768765618	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0013910374322088	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.001373229211391	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0013556492350058	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0013382945626619	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0013211622921743	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0013042495590554	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0012875535360213	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0012710714325	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0012548004941508	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.001238738002385	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0012228812738961	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0012072276601933	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0011917745471486	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0011765193545406	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.001161459535611	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0011465925766239	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.001131915996433	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.001117427346054	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0011031242082393	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0010890041970655	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0010750649575195	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0010613041650949	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0010477195253924	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0010343087737221	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0010210696747153	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.0010080000219457	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0009950976375384	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0009823603718104	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.0009697861028894	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.0009573727363592	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0009451182048925	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.000933020467902	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.000921077511188	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.000909287346595	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.0008976480116698	295.0	295.0	0.0	0.0	0.0	0.0
0.66	1.0008861575693273	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	1.000874814107517	295.0	295.0	0.0	0.0	0.0	0.0
0.68	1.000863615738897	295.0	295.0	0.0	0.0	0.0	0.0
0.69	1.000852560600513	295.0	295.0	0.0	0.0	0.0	0.0
0.7	1.0008416468534769	295.0	295.0	0.0	0.0	0.0	0.0
0.71	1.000830872682656	295.0	295.0	0.0	0.0	0.0	0.0
0.72	1.0008202362963599	295.0	295.0	0.0	0.0	0.0	0.0
0.73	1.0008097359260344	295.0	295.0	0.0	0.0	0.0	0.0
0.74	1.000799369825964	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	1.0007891362729695	295.0	295.0	0.0	0.0	0.0	0.0
0.76	1.0007790335661164	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	1.000769060026425	295.0	295.0	0.0	0.0	0.0	0.0
0.78	1.0007592139965844	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	1.000749493840668	295.0	295.0	0.0	0.0	0.0	0.0
0.8	1.000739897943858	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	1.0007304247121682	295.0	295.0	0.0	0.0	0.0	0.0
0.82	1.0007210725721734	295.0	295.0	0.0	0.0	0.0	0.0
0.83	1.0007118399707429	295.0	295.0	0.0	0.0	0.0	0.0
0.84	1.0007027253747753	295.0	295.0	0.0	0.0	0.0	0.0
0.85	1.0006937272709364	295.0	295.0	0.0	0.0	0.0	0.0
0.86	1.0006848441654062	295.0	295.0	0.0	0.0	0.0	0.0
0.87	1.0006760745836205	295.0	295.0	0.0	0.0	0.0	0.0
0.88	1.0006674170700225	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	1.0006588701878167	295.0	295.0	0.0	0.0	0.0	0.0
0.9	1.0006504325187233	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	1.0006421026627381	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	1.0006338792378953	295.0	295.0	0.0	0.0	0.0	0.0
0.93	1.0006257608800315	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	1.0006177462425594	295.0	295.0	0.0	0.0	0.0	0.0
0.95	1.0006098339962326	295.0	295.0	0.0	0.0	0.0	0.0
0.96	1.0006020228289259	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	1.0005943114454086	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	1.0005866985671272	295.0	295.0	0.0	0.0	0.0	0.0
0.99	1.000579182931994	295.0	295.0	0.0	0.0	0.0	0.0
1.0	1.0005717632941633	295.0	295.0	0.0	0.0	0.0	0.0
1.01	1.000564438423831	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	1.0005572071070181	295.0	295.0	0.0	0.0	0.0	0.0
1.03	1.0005500681453703	295.0	295.0	0.0	0.0	0.0	0.0
1.04	1.0005430203559529	295.0	295.0	0.0	0.0	0.0	0.0
1.05	1.0005360625710529	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	1.0005291936379812	295.0	295.0	0.0	0.0	0.0	0.0
1.0699999999999998	1.0005224124188774	295.0	295.0	0.0	0.0	0.0	0.0
1.08	1.0005157177905164	295.0	295.0	0.0	0.0	0.0	0.0
1.09	1.000509108644122	295.0	295.0	0.0	0.0	0.0	0.0
1.0999999999999999	1.000502583885177	295.0	295.0	0.0	0.0	0.0	0.0
1.1099999999999999	1.0004961424332395	295.0	295.0	0.0	0.0	0.0	0.0
1.12	1.0004897832217605	295.0	295.0	0.0	0.0	0.0	0.0
1.1300000000000001	1.0004835051979035	295.0	295.0	0.0	0.0	0.0	0.0
1.14	1.000477307322368	295.0	295.0	0.0	0.0	0.0	0.0
1.15	1.0004711885692144	295.0	295.0	0.0	0.0	0.0	0.0
1.16	1.000465147925689	295.0	295.0	0.0	0.0	0.0	0.0
1.1700000000000002	1.0004591843920545	295.0	295.0	0.0	0.0	0.0	0.0
1.18	1.0004532969814237	295.0	295.0	0.0	0.0	0.0	0.0
1.19	1.0004474847195903	295.0	295.0	0.0	0.0	0.0	0.0
1.2	1.0004417466448658	295.0	295.0	0.0	0.0	0.0	0.0
1.21	1.0004360818079208	295.0	295.0	0.0	0.0	0.0	0.0
1.22	1.0004304892716176	295.0	295.0	0.0	0.0	0.0	0.0
1.23	1.0004249681108597	295.0	295.0	0.0	0.0	0.0	0.0
1.24	1.000419517412432	295.0	295.0	0.0	0.0	0.0	0.0
1.25	1.0004141362748518	295.0	295.0	0.0	0.0	0.0	0.0
1.2599999999999998	1.0004088238082107	295.0	295.0	0.0	0.0	0.0	0.0
1.27	1.0004035791340322	295.0	295.0	0.0	0.0	0.0	0.0
1.28	1.0003984013851166	295.0	295.0	0.0	0.0	0.0	0.0
1.29	1.0003932897054004	295.0	295.0	0.0	0.0	0.0	0.0
1.2999999999999998	1.0003882432498128	295.0	295.0	0.0	0.0	0.0	0.0
