# time of execution: 2021-01-20 13:41:06
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.99793]
### sample paramters ###
# Sample: Cobalt
# S=1.5
# mu_at=1.8[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5071e-10	dy=2.5071e-10	dz=4.0695e-10	[m]
# atoms per unit cell:2
# asf=0.06
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1423[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0020742937881415	295.0	295.0	0	0	0	0
0.01	1.0020453183128888	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0020167487028675	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0019885792344676	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0019608042657253	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.00193341823513	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.001906415660458	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.001879791137621	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0018535393395285	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0018276550149718	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.001802132987523	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.001776968154449	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0017521554856441	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.001727690022577	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0017035668772531	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0016797812311964	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0016563283344402	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.001633203504539	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0016104021255896	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.001587919647272	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.001565751583899	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0015438935134853	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0015223410768277	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.001501089976598	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0014801359764518	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.001459474900149	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0014391026306875	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0014190151094486	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0013992083353616	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.001379678364068	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0013604213071106	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.001341433331128	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0013227106570624	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.00130424955938	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0012860463652995	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.001268097454037	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.001250399256061	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0012329482523523	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0012157409736817	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0011987739998969	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0011820439592163	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.001165547527539	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0011492814277585	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0011332424290924	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.001117427346418	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0011018330396175	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0010864564129354	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0010712944143447	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0010563440349194	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0010416023082207	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.001027066309687	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.001012733156039	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0009986000046873	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0009846640531526	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0009709225384942	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0009573727367436	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.00094401196235	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0009308375676313	295.0	295.0	0.0	0.0	0.0	0.0
