# time of execution: 2021-06-25 11:34:40
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.9863]
### sample paramters ###
# Sample: Iron
# S=2
# mu_at=2.2[mu_B]
# nx=1	ny=1	nz=1
# dx=2.856e-10	dy=2.856e-10	dz=2.856e-10	[m]
# atoms per unit cell:2
# asf=0.085
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=1041[K]
# T_Deb=396[K]
### pulse paramters ###
# peak power:2e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	0.9998309636012046	291.01578417445916	294.9928191597417	48.46094907939187	-394201.05682238063	-22871.959053776787	-417121.4768252367
0.02	0.9996716793127489	287.6549093941509	294.9727063715233	81.61877084938897	-723098.7184357212	-86933.37952315701	-810113.7167297275
0.03	0.9995206532562109	284.82834828130547	294.9417756246551	106.67371415698426	-997116.8864741843	-185449.56082797574	-1182673.121016317
0.04	0.9993766548835051	282.456157945994	294.901822557932	126.25146528823007	-1225018.1406074658	-312699.44676657545	-1537843.8388393295
0.05	0.9992386689076002	280.4717788537666	294.85436976811434	139.97586362478614	-1414165.4617575575	-463831.5935892978	-1878137.0312104796
0.06	0.9991058525320293	278.81791931136166	294.80071201328207	149.5370594561382	-1570766.980424226	-634720.3586328056	-2205636.8761164867
0.07	0.9989775040561794	277.4449276955863	294.74194745057554	156.0822197167604	-1700055.802468414	-821866.4936753663	-2522078.3783634943
0.08	0.9988530388487715	276.31009870254985	294.67900567755555	160.48362370090808	-1806438.5588830265	-1022307.8687355022	-2828906.911242226
0.09	0.9987319691569658	275.3766322134365	294.6126719422204	163.4972491458284	-1893622.363292344	-1233542.3673284159	-3127328.2278699027
0.1	0.9986138876385324	274.6130572095069	294.54360798185775	165.55140962567748	-1964722.1865581246	-1453461.5001571001	-3418349.238124846
0.11	0.9984984535765385	273.9925833590016	294.4723705390728	166.947419050809	-2022353.7754753905	-1680291.4073537725	-3702812.1302482123
0.12	0.9983853816479333	273.49246661191165	294.3994274242797	167.89596945382618	-2068712.597341044	-1912541.671249149	-3981422.1645596432
0.13	0.9982744324550896	273.0934413886587	294.3251711561059	168.54346815009194	-2105640.71035907	-2148961.8427678095	-4254771.096595024
0.14	0.9981654045560387	272.77921943694577	294.24993049064904	168.9909701692418	-2134683.202633005	-2388504.6930662696	-4523356.886669437
0.15	0.9980581283050176	272.5360531328216	294.17398052644353	169.30770128427093	-2157135.6209680163	-2630294.004385163	-4787598.9330544565
0.16	0.9979524605580771	272.35235517614626	294.09755116474946	169.54067187534838	-2174084.018769516	-2873597.602094653	-5047851.161536043
0.17	0.9978482802795929	272.21837048418536	294.0208342746948	169.72147395534103	-2186438.6492745364	-3117804.5148566654	-5304412.885605156
0.18	0.9977454848932056	272.12589457558903	293.9439897511747	169.87106363136218	-2194962.2896002205	-3362405.6643092935	-5557537.8249731455
